date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:20:40	35650/35650	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Oct%202019%2017:51:58%20GMT	http://omexer.com/tm/mixito/demo/index.html	omexer.com/tm/mixito/demo/index.html	(from )
16:20:41	67/67	---M--	200	added ('OK')	text/plain	etag:%222-1572427740;;;%22	http://omexer.com/robots.txt		(from )
16:20:42	1568/1568	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Nov%202017%2012:01:56%20GMT	http://omexer.com/tm/mixito/demo/assets/images/favicon.png	omexer.com/tm/mixito/demo/assets/images/favicon.png	(from http://omexer.com/tm/mixito/demo/index.html)
16:20:43	153182/153182	---M-Z	200	added ('OK')	text/css	date:Fri,%2021%20Dec%202018%2004:47:12%20GMT	http://omexer.com/tm/mixito/demo/assets/css/bootstrap.min.css	omexer.com/tm/mixito/demo/assets/css/bootstrap.min.css	(from http://omexer.com/tm/mixito/demo/index.html)
16:20:44	3378/3378	---M-Z	200	added ('OK')	text/css	date:Thu,%2014%20Mar%202019%2020:43:44%20GMT	http://omexer.com/tm/mixito/demo/assets/css/owl.carousel.min.css	omexer.com/tm/mixito/demo/assets/css/owl.carousel.min.css	(from http://omexer.com/tm/mixito/demo/index.html)
16:20:45	6951/6951	---M-Z	200	added ('OK')	text/css	date:Sun,%2004%20Jun%202017%2019:11:48%20GMT	http://omexer.com/tm/mixito/demo/assets/css/magnific-popup.css	omexer.com/tm/mixito/demo/assets/css/magnific-popup.css	(from http://omexer.com/tm/mixito/demo/index.html)
16:20:46	92214/92214	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20Oct%202018%2004:02:30%20GMT	http://omexer.com/tm/mixito/demo/assets/css/icofont.min.css	omexer.com/tm/mixito/demo/assets/css/icofont.min.css	(from http://omexer.com/tm/mixito/demo/index.html)
16:20:47	72259/72259	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Sep%202016%2000:45:38%20GMT	http://omexer.com/tm/mixito/demo/assets/css/animate.css	omexer.com/tm/mixito/demo/assets/css/animate.css	(from http://omexer.com/tm/mixito/demo/index.html)
16:20:48	26540/26540	---M-Z	200	added ('OK')	text/css	date:Thu,%2024%20Oct%202019%2018:22:22%20GMT	http://omexer.com/tm/mixito/demo/assets/css/style.css	omexer.com/tm/mixito/demo/assets/css/style.css	(from http://omexer.com/tm/mixito/demo/index.html)
16:20:49	19321/19321	---M-Z	200	added ('OK')	text/css	date:Thu,%2024%20Oct%202019%2016:55:14%20GMT	http://omexer.com/tm/mixito/demo/assets/css/responsive.css	omexer.com/tm/mixito/demo/assets/css/responsive.css	(from http://omexer.com/tm/mixito/demo/index.html)
16:20:50	2110/2110	---M--	200	added ('OK')	image/png	date:Wed,%2016%20Oct%202019%2016:49:16%20GMT	http://omexer.com/tm/mixito/demo/assets/images/logo.png	omexer.com/tm/mixito/demo/assets/images/logo.png	(from http://omexer.com/tm/mixito/demo/index.html)
16:20:58	28441/28441	---M--	200	added ('OK')	image/jpeg	date:Sat,%2024%20Aug%202019%2000:59:18%20GMT	http://omexer.com/tm/mixito/demo/assets/images/watch-img.jpg	omexer.com/tm/mixito/demo/assets/images/watch-img.jpg	(from http://omexer.com/tm/mixito/demo/index.html)
